id,name,efb_path,mmel_id,pdf_pages,default_branch,conditions,rule_profile
M001,Контроллер герметизации CPC1,ATA 21 - Air Conditioning → CPC → 1,21-31-01,37,1) System 1,Без ETOPS; CPC1 отключён.; Ручной режим и индикация давления на CAB PRESS исправны; оба FCU и CPC2 исправны.; Устранение в течение 3 flight-days.,CPC
M002,Контроллер герметизации CPC2,ATA 21 - Air Conditioning → CPC → 2,21-31-01,37,2) System 2,CPC2 отключён.; Ручной режим и индикация давления на CAB PRESS исправны; оба FCU и CPC1 исправны.,CPC
M020,Компьютер вентиляции AEVC,ATA 21 - Air Conditioning → Ventilation → Aevc,21-26-10,34,Основная строка,Extract fan проверен исправным перед каждым полётом; оба pack исправны.; BLOWER и EXTRACT — OVRD; air conditioning inlet и extract valve проверены в требуемых положениях перед каждым полётом; skin air inlet valve закреплён закрытым.,AEVC
M021,Вентилятор Blower,ATA 21 - Air Conditioning → Ventilation → Blower Fault,21-26-01,30,Альтернативная строка с проверкой открытого inlet valve,Extract fan и оба pack исправны; BLOWER — OVRD.; Air conditioning inlet valve проверен открытым перед каждым полётом; для Mod.20056 не превышать FL270.,BLOWER
M022,Вентилятор Extract,ATA 21 - Air Conditioning → Ventilation → Extract Fault,21-26-02,31; 32,Альтернативная строка с проверкой открытого inlet valve,Blower fan и оба pack исправны; EXTRACT — OVRD; air conditioning inlet valve проверен открытым перед каждым полётом.; Время на земле с электропитанием: OAT <38 °C — без ограничения; 39–45 °C — 3 ч; 46–50 °C — 2 ч; 51–54 °C — 35 мин. Значение 38 °C и температуры вне этих диапазонов источник явно не определяет; интерполяция не выполняется.,EXTRACT
M026,Компьютер FAC2 — невосстанавливаемый отказ,ATA 22 - AutoFlight → Nonresettable fault → Fac 2,22-66-01,60,"1) FAC2, без eRudder","Оба FCU, ELAC, SEC, ADIRS, SFCC, RA и LGCIU исправны; минимумы захода не требуют отказавший FAC2.",FAC2
M029,Ограничитель хода руля направления — канал 1,ATA 22 - AutoFlight → Rudder travel limiter → Channel 1,27-23-01,178,"Без eRudder: 2 установлено, 1 требуется","Допускается один канал, другой должен оставаться исправным.",RTL
M030,Ограничитель хода руля направления — канал 2,ATA 22 - AutoFlight → Rudder travel limiter → Channel 2,27-23-01,178,"Без eRudder: 2 установлено, 1 требуется","Допускается один канал, другой должен оставаться исправным.",RTL
M031,Триммер руля направления — канал 1,ATA 22 - AutoFlight → Rudder trim → Channel 1,27-22-01,178,1) System No.1,Без ETOPS; канал 2 исправен; минимумы захода не требуют канал 1.,RUDDER_TRIM
M032,Триммер руля направления — канал 2,ATA 22 - AutoFlight → Rudder trim → Channel 2,27-22-01,178,2) System No.2,Канал 1 исправен; минимумы захода не требуют канал 2.,RUDDER_TRIM
M038,FCU — канал 1,ATA 22 - AutoFlight → FCU → Channel 1,22-81-01,63,"1) Channels, без eRudder; строка без ETOPS","Один канал; без ETOPS.; Исправны 2 RMP, все DU, оба RA/LGCIU/FAC/CPC, три ADIRS и standby altimeter либо барометрическая функция ISIS.",FCU
M039,FCU — канал 2,ATA 22 - AutoFlight → FCU → Channel 2,22-81-01,63,"1) Channels, без eRudder; строка без ETOPS","Один канал; без ETOPS.; Исправны 2 RMP, все DU, оба RA/LGCIU/FAC/CPC, три ADIRS и standby altimeter либо барометрическая функция ISIS.",FCU
M042,Автопилот AP1,ATA 22 - AutoFlight → AP → 1,22-10-01,57,"2 установлено, 1 требуется",Один AP; минимумы захода не требуют его использования.,AP
M043,Автопилот AP2,ATA 22 - AutoFlight → AP → 2,22-10-01,57,"2 установлено, 1 требуется",Один AP; минимумы захода не требуют его использования.,AP
M067,Преобразователь TR1,ATA 24 - Electrical power → TR Failure → Tr 1,24-30-01,119,Основная строка TR1,"Без ETOPS; исправны Extract fan, индикация напряжения батарей и оба pack.; Минимумы захода не требуют TR1; устранение в течение 2 flight-days.",TR1
M085,Обнаружение пожара двигателя 1 — Loop A,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop A,26-12-01,156,1) Loop A / 2) Loop B,Не более одного отказавшего контура на этом двигателе; другой контур исправен.; Без ETOPS свыше 120 минут; engine fire test перед каждым вылетом.,ENGINE1_LOOPS
M086,Обнаружение пожара двигателя 1 — Loop B,ATA 26 - Fire protection → Loop Eng 1 → Eng 1 Loop B,26-12-01,156,1) Loop A / 2) Loop B,Не более одного отказавшего контура на этом двигателе; другой контур исправен.; Без ETOPS свыше 120 минут; engine fire test перед каждым вылетом.,ENGINE1_LOOPS
M087,Обнаружение пожара двигателя 2 — Loop A,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop A,26-12-01,156,1) Loop A / 2) Loop B,Не более одного отказавшего контура на этом двигателе; другой контур исправен.; Без ETOPS свыше 120 минут; engine fire test перед каждым вылетом.,ENGINE2_LOOPS
M088,Обнаружение пожара двигателя 2 — Loop B,ATA 26 - Fire protection → Loop Eng 2 → Eng 2 Loop B,26-12-01,156,1) Loop A / 2) Loop B,Не более одного отказавшего контура на этом двигателе; другой контур исправен.; Без ETOPS свыше 120 минут; engine fire test перед каждым вылетом.,ENGINE2_LOOPS
M089,Обнаружение пожара APU — Loop A,ATA 26 - Fire protection → Loop APU → Apu Loop A,26-13-01,156; 157,1) Loops — Loop A,Без ETOPS свыше 120 минут; APU fire test перед каждым запуском APU; на земле состояние APU контролируется из кабины.,APU_LOOPS
M090,Обнаружение пожара APU — Loop B,ATA 26 - Fire protection → Loop APU → Apu Loop B,26-13-01,156; 157,1) Loops — Loop B,Без ETOPS свыше 120 минут; APU fire test перед каждым запуском APU.,APU_LOOPS
M144,Жёлтый электрический гидронасос,ATA 29 - Hydraulic power → Elec pumps → Elec Hyd Pump Yellow Failure,29-25-01,266,Основная строка,Кнопка yellow electric pump — OFF.; Передняя и задняя грузовые двери должны обслуживаться вручную.,YELLOW_PUMP
M152,Функция автоматического торможения AUTO/BRK,ATA 32 - Landing gear → Brake fault → Autobrake Failure,32-42-04,313,"AUTO/BRK Function, основная строка",Минимумы захода не требуют AUTO/BRK; normal braking не затронуто.,AUTOBRAKE
M153,Колёсный тормоз 1,ATA 32 - Landing gear → Wheel brake fault → 1,32-42-01,306,"4 установлено, 3 требуется","Один тормоз; ВПП шириной не менее 45 м; исправны antiskid, NWS и оба reverser.; Отказавший тормоз снят или деактивирован; green и yellow systems на оставшихся тормозах исправны.; Применяются поправки AFM; минимумы захода не требуют отказавший тормоз; AUTO/BRK считается неработающим.",WHEEL_BRAKES
M154,Колёсный тормоз 2,ATA 32 - Landing gear → Wheel brake fault → 2,32-42-01,306,"4 установлено, 3 требуется","Один тормоз; ВПП шириной не менее 45 м; исправны antiskid, NWS и оба reverser.; Отказавший тормоз снят или деактивирован; green и yellow systems на оставшихся тормозах исправны.; Применяются поправки AFM; минимумы захода не требуют отказавший тормоз; AUTO/BRK считается неработающим.",WHEEL_BRAKES
M155,Колёсный тормоз 3,ATA 32 - Landing gear → Wheel brake fault → 3,32-42-01,306,"4 установлено, 3 требуется","Один тормоз; ВПП шириной не менее 45 м; исправны antiskid, NWS и оба reverser.; Отказавший тормоз снят или деактивирован; green и yellow systems на оставшихся тормозах исправны.; Применяются поправки AFM; минимумы захода не требуют отказавший тормоз; AUTO/BRK считается неработающим.",WHEEL_BRAKES
M156,Колёсный тормоз 4,ATA 32 - Landing gear → Wheel brake fault → 4,32-42-01,306,"4 установлено, 3 требуется","Один тормоз; ВПП шириной не менее 45 м; исправны antiskid, NWS и оба reverser.; Отказавший тормоз снят или деактивирован; green и yellow systems на оставшихся тормозах исправны.; Применяются поправки AFM; минимумы захода не требуют отказавший тормоз; AUTO/BRK считается неработающим.",WHEEL_BRAKES
M198,MCDU1,ATA 34 - Navigation → MCDU → 1,22-82-01,68,"1) Flightcrew Positions: 2 установлено, 1 требуется",Один MCDU пилотов; навигационные процедуры не требуют его использования.,MCDU
M199,MCDU2,ATA 34 - Navigation → MCDU → 2,22-82-01,68,"1) Flightcrew Positions: 2 установлено, 1 требуется",Один MCDU пилотов; навигационные процедуры не требуют его использования.,MCDU
M254,Обогрев датчика AOA CAPT,ATA 30 - Ice and rain protection → AOA Heat → Capt,30-31-04,280,CAPT heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны. Проверка один раз каждый flight-day.; Без ETOPS свыше 120 минут; вне видимой влаги и известного/прогнозируемого обледенения.",AOA_HEAT
M255,Обогрев датчика AOA F/O,ATA 30 - Ice and rain protection → AOA Heat → F/o,30-31-04,280,FO heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны. Проверка один раз каждый flight-day.",AOA_HEAT
M256,Обогрев датчика AOA STBY,ATA 30 - Ice and rain protection → AOA Heat → Stby,30-31-04,280,STBY heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны. Проверка один раз каждый flight-day.",AOA_HEAT
M257,Обогрев датчика TAT CAPT,ATA 30 - Ice and rain protection → TAT Heat → Capt,30-31-05,281,"2 установлено, 1 требуется",Допускается один обогреватель TAT.,TAT_HEAT
M258,Обогрев датчика TAT F/O,ATA 30 - Ice and rain protection → TAT Heat → F/o,30-31-05,281,"2 установлено, 1 требуется",Допускается один обогреватель TAT.,TAT_HEAT
M260,Обогрев приёмника Pitot CAPT,ATA 30 - Ice and rain protection → Pitot Heat → Capt,30-31-02,278,CAPT heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны.; Без ETOPS свыше 120 минут; вне видимой влаги и известного/прогнозируемого обледенения.",PITOT_HEAT
M261,Обогрев приёмника Pitot F/O,ATA 30 - Ice and rain protection → Pitot Heat → F/o,30-31-02,278,FO heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны.; В обледенении при ADR2 OFF запрещён взлёт CONF1+F.",PITOT_HEAT
M262,Обогрев приёмника Pitot STBY,ATA 30 - Ice and rain protection → Pitot Heat → Stby,30-31-02,278,STBY heater,"ADR, обогреватели и предупреждения остальных двух позиций исправны.; Без ETOPS свыше 120 минут; вне видимой влаги и известного/прогнозируемого обледенения.",PITOT_HEAT
M263,Обогрев статического порта CAPT — левый,ATA 30 - Ice and rain protection → Static Heat → Left  Capt,30-31-03,279,"6 установлено, 4 требуется; CAPT heaters","ADR, обогреватели и предупреждения исправных позиций проверены работоспособными.; При ВПП с водой или слякотью температура в аэропорту вылета выше +5 °C.",STATIC_HEAT
M264,Обогрев статического порта CAPT — правый,ATA 30 - Ice and rain protection → Static Heat → Right  Capt,30-31-03,279,"6 установлено, 4 требуется; CAPT heaters","ADR, обогреватели и предупреждения исправных позиций проверены работоспособными.; При ВПП с водой или слякотью температура в аэропорту вылета выше +5 °C.",STATIC_HEAT
