assessment_id,mmel_id,branch,mmel_title,status,models,engines,fenix_names,printed_pages,pdf_pages,note,fenix_evidence,tested_in_sim,approved_for_generation
F001,21-21-01,one cabin fan,Cabin Fans,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Recirculation fans,21-2,29,"MMEL допускает один из двух; старое имя во множественном числе не устанавливает, один или оба вентилятора выключает Fenix.",ALPHA_2021,False,False
F002,21-23-01,1) / 2),Lavatory and Galley Extraction Fan,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Lavatory/Galley fan,21-2,29,"Совпадает компонент; выбрать ветвь Mod.22561, проверить последствия для smoke detection.",ALPHA_2021,False,False
F003,21-26-01,Blower Fan,Blower Fan,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Ventilation blower fault,21-3,30,Не объединять с Extract fan или Pack: MMEL требует их исправности.,ALPHA_2021,False,False
F004,21-26-02,Extract Fan,Extract Fan,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Ventilation extract fault,21-4; 21-5,31; 32,Не объединять с Blower fan или Pack; существуют ограничения температуры и времени на земле.,ALPHA_2021,False,False
F005,21-26-04,Skin Air Outlet Valve,Skin Air Outlet Valve,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Vent extract valve,21-5,32,Уточнить тождество клапана и его положение. Не путать с отказом вытяжного вентилятора.,ALPHA_2021,False,False
F006,21-26-05,Skin Air Inlet Valve,Skin Air Inlet Valve,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Vent inlet valve,21-6,33,"Нужно подтвердить положение, требуемое выбранной строкой MMEL.",ALPHA_2021,False,False
F007,21-26-10,AEVC,Avionics Equipment Ventilation Computer (AEVC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,Ventilation AEVC,21-7,34,Совпадает компьютер; отключение компьютера не заменяет проверку вентиляторов и положений клапанов.,ALPHA_2021,False,False
F008,21-28-02,Forward Cargo Isolation Valves,Forward Cargo Isolation Valves,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Cargo fwd isolation valve downstream; Cargo fwd isolation valve upstream,21-9,36,Только если передняя cargo ventilation установлена. Нужны фактические положения клапанов.,ALPHA_2021,False,False
F009,21-28-05,Aft Cargo Isolation Valves,Aft Cargo Isolation Valves,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Cargo aft isolation valve downstream; Cargo aft isolation valve upstream,21-10,37,Учитывать комплектацию cargo ventilation и положение клапана.,ALPHA_2021,False,False
F010,21-31-01,1) System 1,"Automatic Cabin Pressure Control Systems (CPC, Outflow Valve AUTO Channels)",K,A319/A320/A321 CEO,CFM56 / IAE V2500,CPC 1,21-10,37,CPC1 и CPC2 имеют разные сроки/условия. Оба канала FCU и оставшийся CPC должны работать.,ALPHA_2021 + SUPPORT_2026_SCREENSHOT_DATED_2024,False,False
F011,21-31-01,2) System 2,"Automatic Cabin Pressure Control Systems (CPC, Outflow Valve AUTO Channels)",K,A319/A320/A321 CEO,CFM56 / IAE V2500,CPC 2,21-10,37,Проверить ручной режим и индикацию; CPC1 и оба канала FCU должны работать.,ALPHA_2021,False,False
F012,21-31-01,AUTO channels vs stuck outflow,"Automatic Cabin Pressure Control Systems (CPC, Outflow Valve AUTO Channels)",X,A319/A320/A321 CEO,CFM56 / IAE V2500,Outflow valve stuck,21-10,37,Заклинивание клапана не равно отказу автоматического канала CPC: может затронуть и ручное управление.,ALPHA_2021,False,False
F013,21-51-01,without Mod.30626,Pack Flow Control Valves (Without Mod. 30626/ MP K6443 (Enhanced ECS)),U,A319/A320/A321 CEO,CFM56 / IAE V2500,Pack 1 flow control valve; Pack 2 flow control valve,21-13,40,Для обычной однопаковой ветви клапан должен быть закрыт; Fenix фиксирует текущее положение. Также применить 21-52-01.,ALPHA_2021,False,False
F014,21-52-01,"single pack, exact configuration pending",Packs,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Pack 1 regulator fault; Pack 2 regulator fault,21-14; 21-15; 21-16; 21-17; 21-18; 21-19; 21-20; 21-21; 21-22; 21-23,41; 42; 43; 44; 45; 46; 47; 48; 49; 50,"Кандидат на неработающий pack, но отказ регулятора может оставлять резервное управление. Проверить реальный результат и ветвь ECS/модели.",ALPHA_2021,False,False
F015,21-52-01,pack failure vs indication sensor,Packs,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Pack 1 overheat; Pack 2 overheat,21-14; 21-15; 21-16; 21-17; 21-18; 21-19; 21-20; 21-21; 21-22; 21-23,41; 42; 43; 44; 45; 46; 47; 48; 49; 50,В alpha описание указывает отказ датчика температуры. Нельзя автоматически считать весь pack неработающим.,ALPHA_2021,False,False
F016,21-55-01,Emergency Ram Air Inlet,Emergency Ram Air Inlet,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Ram air valve,21-24,51,Уточнить клапан и положение; не смешивать с ram-air flaps теплообменника pack.,ALPHA_2021,False,False
F017,21-63-01,"1) Primary / 2) Secondary, without Mod.30626","Zone Controller System (A319, A320, A321) (Without Mod. 30626)",K,A319/A320/A321 CEO,CFM56 / IAE V2500,Zone controller primary; Zone controller secondary,21-25,52,Подпункты имеют разные последствия. Не переносить в enhanced ECS без отдельного подтверждения.,ALPHA_2021,False,False
F018,21-63-03,Hot Air Pressure Regulating Valve,Hot Air Pressure Regulating Valve,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Hot air valve,21-27,54,Сначала установить фактическое положение клапана и работоспособность trim-air; общий Hot air fault недостаточен.,ALPHA_2021,False,False
F019,22-10-01,Autopilot Systems,Autopilot Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,AP 1; AP 2,22-1,57,Отказ AP-функции при сохранённом FD. Не заменять отказом всего FMGC; выбрать строку для одного либо двух AP.,ALPHA_2021,False,False
F020,22-30-01,Autothrust Function,Autothrust Function,U,A319/A320/A321 CEO,CFM56 / IAE V2500,A/THR 1; A/THR 2,22-3,59,Отказ A/THR-функции одного FMGC может оставлять общий autothrust работоспособным. Нужно проверить фактическую потерю функции.,ALPHA_2021,False,False
F021,22-63-01,1) System 1 / 2) System 2,Yaw Dampers,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Yaw damper channel 1; Yaw damper channel 2,22-4,60,Раздельные ветви; второй демпфер должен работать.,ALPHA_2021,False,False
F022,22-66-01,"1) FAC 2, without eRudder",Flight Augmentation Computers (FAC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,FAC 2,22-4,60,"Разрешение относится именно к FAC2, при исправности перечисленных систем управления и навигации.",ALPHA_2021,False,False
F023,22-66-01,FAC 1 is not the permitted FAC 2,Flight Augmentation Computers (FAC),X,A319/A320/A321 CEO,CFM56 / IAE V2500,FAC 1,22-4,60,"Наличие FAC1 в Fenix не даёт допуска: подпункт FAA указан для FAC2, отдельно описано последствие потери FAC1.",ALPHA_2021,False,False
F024,22-66-03,Reactive windshear branch,Windshear Detection/Guidance and Avoidance Systems,U,A319/A320/A321 CEO,CFM56 / IAE V2500,Reactive W/S det channel 1; Reactive W/S det channel 2,22-5,61,"Отделить reactive от predictive windshear; проверить, какой уровень системы теряется после одного канала.",ALPHA_2021,False,False
F025,22-81-01,"1) one FCU channel, without eRudder",FCU,K,A319/A320/A321 CEO,CFM56 / IAE V2500,FCU Channel 1; FCU Channel 2,22-7,63,"В MMEL требуется исправность CPC, FAC, RA, LGCIU, ADIRS и всех DU; многие пары отказов исключаются.",ALPHA_2021,False,False
F026,22-82-01,MCDU,Multipurpose Control Display Units (MCDU),K,A319/A320/A321 CEO,CFM56 / IAE V2500,MCDU 1; MCDU 2,22-12,68,Проверить количество установленных устройств и оставшиеся способы управления; не использовать recoverable fault как постоянный дефект без проверки.,ALPHA_2021,False,False
F027,22-83-01,1) FMGC1 / 2) FMGC2,Flight Management Guidance Computer (FMGC),K,A319/A320/A321 CEO,CFM56 / IAE V2500,FMGC 1; FMGC 2,22-12; 22-13,68; 69,Потеря AP/FD относится к последствиям того же FMGC. Не считать их дополнительными независимыми отказами.,ALPHA_2021,False,False
F028,23-71-01,CVR system,Cockpit Voice Recorder System (CVR),K,A319/A320/A321 CEO,CFM56 / IAE V2500,CVR,23-17,86,Совпадает компонент; ограничения выбранной строки FAA сохраняются. Подтверждение записи звука в симуляторе отсутствует.,ALPHA_2021,False,False
F029,24-20-01,"one engine generator channel, CEO branch","Engine Driven Generator Channel (IDG, GCU, Line Contactor)",K,A319/A320/A321 CEO,CFM56 / IAE V2500,Generator 1; Generator 2,24-2; 24-3; 24-4; 24-5; 24-6; 24-7; 24-8; 24-9; 24-10; 24-11; 24-12; 24-13,100; 101; 102; 103; 104; 105; 106; 107; 108; 109; 110; 111,Нужна ветвь CEO и проверка резервных источников. Отказ AC BUS не эквивалентен отказу генератора.,ALPHA_2021,False,False
F030,24-20-02,"APU generator, CEO/configuration branch",APU Generator Channel,K,A319/A320/A321 CEO,CFM56 / IAE V2500,APU generator,24-14; 24-15; 24-16; 24-17; 24-18; 24-19,112; 113; 114; 115; 116; 117,Отдельно от общего отказа APU; сверить условия выбранной модификации.,ALPHA_2021,False,False
F031,24-30-01,TR1,Transformer/Rectifier Units (TR),K,A319/A320/A321 CEO,CFM56 / IAE V2500,TR 1,24-21,119,Допуск касается TR1; исправность packs/extract и остальных источников остаётся условием.,ALPHA_2021,False,False
F032,24-30-01,"TR2, without/with Mod.27620",Transformer/Rectifier Units (TR),U,A319/A320/A321 CEO,CFM56 / IAE V2500,TR 2,24-21,119,Обнаружена ошибка заголовка в исходном PDF на 24-22: текст о TR2 стоит под 24-27-09. Не исправлять молча; ветвь с ISIS требует уточнения.,ALPHA_2021,False,False
F033,24-30-01,ESS TR is not TR1/TR2,Transformer/Rectifier Units (TR),X,A319/A320/A321 CEO,CFM56 / IAE V2500,ESS TR failure,24-21,119,Разрешения прочитанного пункта относятся к TR1/TR2; перенос на ESS TR не подтверждён.,ALPHA_2021,False,False
F034,26-12-01,1) Loop A / 2) Loop B,Engine Fire Detection Systems,K,A319/A320/A321 CEO,CFM56 / IAE V2500,Eng 1 Loop A; Eng 1 Loop B; Eng 2 Loop A; Eng 2 Loop B,26-2,156,Один loop на двигатель при исправном другом. Реальный пожар или отказ всего FDU — другие состояния.,ALPHA_2021,False,False
